0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.573849 (0.000050) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}
0.798083 (0.009821) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.800000 (0.003457) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.805193 (0.004742) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.798640 (0.005316) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.792828 (0.004338) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.800062 (0.004016) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.802473 (0.003897) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.795549 (0.002582) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.798145 (0.002650) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.793756 (0.002244) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.794992 (0.003806) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.795549 (0.004894) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}
0.872828 (0.002797) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.875178 (0.002795) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.871716 (0.002662) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.876352 (0.005069) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.871221 (0.001543) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.872272 (0.002687) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.874745 (0.004454) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.869675 (0.000828) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.871716 (0.003489) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.869552 (0.003287) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.870294 (0.004917) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.874807 (0.002393) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}


Best: 0.876352 using {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
