0.713261 (0.015491) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.712272 (0.006669) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.715611 (0.002705) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.721051 (0.002897) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.722164 (0.010245) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.720618 (0.001959) with: {'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.716723 (0.011282) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.719629 (0.002600) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.718083 (0.001595) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.714992 (0.008762) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.720556 (0.008054) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.716909 (0.001504) with: {'max_depth': 1, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}
0.860587 (0.002565) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.861638 (0.001586) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.861020 (0.002561) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.860031 (0.001585) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.859598 (0.001996) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.860464 (0.003122) with: {'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.860649 (0.002284) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.860216 (0.002241) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.860711 (0.003032) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.860031 (0.002187) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.860649 (0.001762) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.860649 (0.002038) with: {'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}
0.885750 (0.002407) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}
0.884884 (0.002585) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}
0.885317 (0.003327) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}
0.885255 (0.002982) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}
0.885997 (0.002586) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
0.884513 (0.002848) with: {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}
0.884266 (0.002551) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}
0.884204 (0.002759) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 400}
0.884019 (0.002278) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 800}
0.884760 (0.002037) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}
0.883709 (0.002268) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 400}
0.884389 (0.002838) with: {'max_depth': 9, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 800}

Best: 0.885997 using {'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}
